,OBJECTID,GEOID10,County,Area_Name,Total_Population,Total_Population_MOE_2016,Total_households,Total_households_MOE,HH_income_less_35k,HH_income_less_35k_MOE,Pct_HH_income_less_35k,Pct_HH_income_less_35k_MOE,HH_income_35k_75k,HH_income_35k_75k_MOE,Pct_HH_income_35k_75k,Pct_HH_income_35k_75k_MOE,HH_income_75k_200k,HH_income_75k_200k_MOE,Pct_HH_income_75k_200k,Pct_HH_income_75k_200k_MOE,HH_income_200k_more,HH_income_200k_more_MOE,Pct_HH_income_200k_more,Pct_HH_income_200k_more_MOE,Median_HH_income,Median_HH_income_MOE,Median_HH_Income_2000,Chg_Median_HH_Income_2000_16,Average_Per_capita_Income,Average_Per_capita_Income_MOE,Aggregate_Household_Income,Aggregate_Household_Income_MOE,Mean_Household_Income,Mean_Household_Income_MOE,Planning_Region,AcresLand,AcresWater,AcresTotal,SqMi_Land,SqMi_Water,SqMi_Total,TRACTCE10,CountyName,GlobalID,last_edited_date,county_name,cases,State FIPS code,County FIPS code,population,hospitalization,deaths,case rate,death rate,14 day case rate,14 day cases
351,352,13135050434,13135,"Census Tract 504.34, Gwinnett County",8175,1051,2507,187,1138,312,45.4,12,1004,293,40,11.3,365,166,14.6,6.5,0,18,0,1,36278,3441,42987.80488,-6709.804878,14333,967,104035000,14435022,41497.8,4855.1,ARC 10,572.1690064,8.44655991,580.6149902,0.894014,0.0131977,0.90721101,50434,Gwinnett,{33B3FE5A-DB5A-498E-9BB2-07D852B2905D},1970/01/01 00:00:00+00,Gwinnett,30383,13,135,971145,2868,442,3128.58,45.51,153.22,1488
62,63,13067030310,13067,"Census Tract 303.10, Cobb County",8204,669,2784,137,547,189,19.6,6.7,1061,264,38.1,9.3,1088,261,39.1,9.2,88,96,3.2,3,64359,9076,66267.53507,-1908.53507,27103,1504,221081296,21405936,79411.4,6621.8,ARC 10,2150.060059,18.46520042,2168.52002,3.35946989,0.0288519,3.38830996,30310,Cobb,{D0614D10-2AB0-4A79-A760-CC97159E9C03},1970/01/01 00:00:00+00,Cobb,21814,13,67,790588,1964,454,2759.21,57.43,129.4,1023
347,348,13135050533,13135,"Census Tract 505.33, Gwinnett County",8220,602,2474,103,799,269,32.3,10.8,994,308,40.2,12.4,626,190,25.3,7.6,55,52,2.2,2,54477,9948,61387.58782,-6910.587822,20380,2820,157590096,24400880,63698.5,9499.7,ARC 10,1595.959961,23.11450005,1619.079956,2.49369001,0.0361164,2.52980995,50533,Gwinnett,{ED0A4550-2EDB-4B9D-B0A5-1D713DF15328},1970/01/01 00:00:00+00,Gwinnett,30383,13,135,971145,2868,442,3128.58,45.51,153.22,1488
782,783,13089023421,13089,"Census Tract 234.21, DeKalb County",8250,991,3053,197,1314,334,43,10.6,1226,302,40.2,9.5,468,168,15.3,5.4,45,72,1.5,2,40030,7830,41410.25641,-1380.25641,19048,1199,145491600,20505836,47655.3,5971.4,ARC 10,1513.47998,33.82279968,1547.300049,2.36480999,0.0528481,2.41766,23421,DeKalb,{7691DF6C-78A7-4492-BD94-8D13D7029C5F},1970/01/01 00:00:00+00,DeKalb,21049,13,89,793154,2309,397,2653.84,50.05,141.21,1120
378,392,13135050422,13135,"Census Tract 504.22, Gwinnett County",8314,786,2346,133,982,256,41.9,10.6,1068,254,45.5,10.5,296,138,12.6,5.9,0,18,0,1,37928,2993,42358.0786,-4430.078603,13293,739,102237296,10944313,43579.4,3957.2,ARC 10,619.6790161,0,619.6790161,0.96824801,0,0.96824801,50422,Gwinnett,{BC4832C4-4F3A-4BD9-8168-0E611CF58B2B},1970/01/01 00:00:00+00,Gwinnett,30383,13,135,971145,2868,442,3128.58,45.51,153.22,1488
226,227,13063040613,13063,"Census Tract 406.13, Clayton County",8336,624,2686,163,918,228,34.2,8.2,762,195,28.4,7.1,965,230,35.9,8.3,41,33,1.5,1,51637,10817,64750,-13113,21800,1489,176870496,19025264,65849,5848.3,ARC 10,3335.149902,40.91519928,3376.070068,5.2111702,0.06393,5.27510977,40613,Clayton,{07882932-CD5F-4447-A7E1-A39A9618EAEB},1970/01/01 00:00:00+00,Clayton,8168,13,63,304838,689,175,2679.46,57.41,144.34,440
875,876,13057091008,13057,"Census Tract 910.08, Cherokee County",8358,641,2988,168,415,164,13.9,5.4,711,206,23.8,6.8,1495,286,50,9.2,367,139,12.3,5,92877,10564,88824.88479,4052.115207,38214,2865,317704192,33436938,106326.7,9459.7,ARC 10,2373.959961,65.89659882,2439.860107,3.70931005,0.102963,3.81227994,91008,Cherokee,{72D91D23-EA1F-458A-8C07-BE314804EE6F},1970/01/01 00:00:00+00,Cherokee,7057,13,57,266617,527,102,2646.87,38.26,189.04,504
891,907,13057090200,13057,"Census Tract 902, Cherokee County",8360,639,2707,192,646,184,23.9,6.6,814,210,30.1,7.4,1098,235,40.6,8.2,149,87,5.5,3,66850,14828,49385.47486,17464.52514,26702,2336,212040304,23831004,78330.4,6829,ARC 10,54291.39844,596.242981,54887.60156,84.83029938,0.93163002,85.76190186,90200,Cherokee,{87B9959A-1667-44B0-8645-FB576609DE9E},1970/01/01 00:00:00+00,Cherokee,7057,13,57,266617,527,102,2646.87,38.26,189.04,504
693,706,13097080404,13097,"Census Tract 804.04, Douglas County",8366,677,2937,287,940,313,32,10.2,1143,257,38.9,7.9,833,241,28.4,7.7,21,27,0.7,1,56439,14430,43509.17431,12929.82569,23650,3402,195332304,33339664,66507.4,9307.1,ARC 10,14693.59961,80.23290253,14773.7998,22.95870018,0.12536401,23.08410072,80404,Douglas,{D51360A8-F70B-4B48-97FB-8736FFA1B3E0},1970/01/01 00:00:00+00,Douglas,4078,13,97,151906,464,72,2684.55,47.4,138.24,210
823,824,13089022008,13089,"Census Tract 220.08, DeKalb County",8380,851,2362,180,1498,306,63.4,12,685,203,29,8.3,160,74,6.8,3.1,19,25,0.8,1,23630,5457,34070.51282,-10440.51282,11388,1793,80624304,11894073,34133.9,4311.7,ARC 10,559.3549805,2.18811989,561.5430298,0.87399203,0.00341894,0.87741101,22008,DeKalb,{405F8048-792E-436A-B02C-56BDDD863809},1970/01/01 00:00:00+00,DeKalb,21049,13,89,793154,2309,397,2653.84,50.05,141.21,1120
